2025-09-05 01:17:31|INFO    |root                            |BAZARR Finished searching for missing Movies Subtitles. Check History for more information.|
2025-09-05 01:48:54|INFO    |root                            |BAZARR Finished searching for missing Series Subtitles. Check History for more information.|
2025-09-05 04:00:00|INFO    |root                            |BAZARR All existing episode subtitles indexed from disk.|
2025-09-05 04:00:00|INFO    |root                            |BAZARR All existing movie subtitles indexed from disk.|
2025-09-05 06:13:30|INFO    |root                            |BAZARR Finished searching for Subtitles to upgrade. Check History for more information.|
2025-09-05 07:17:31|INFO    |root                            |BAZARR Finished searching for missing Movies Subtitles. Check History for more information.|
2025-09-05 07:48:54|INFO    |root                            |BAZARR Finished searching for missing Series Subtitles. Check History for more information.|
2025-09-05 12:25:41|ERROR   |root                            |BAZARR SignalR client for Radarr connection as been lost. Trying to reconnect...|
2025-09-05 12:25:42|ERROR   |root                            |BAZARR SignalR client for Sonarr connection as been lost. Trying to reconnect...|
2025-09-05 12:26:05|INFO    |root                            |Scheduler will use this timezone: Asia/Jerusalem|
2025-09-05 12:26:06|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
2025-09-05 12:26:06|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
2025-09-05 12:26:06|INFO    |waitress                        |BAZARR is started and waiting for requests on: http://***.***.***.***:6767|
2025-09-05 12:26:06|INFO    |waitress                        |BAZARR is started and waiting for requests on: http://[::]:6767|
2025-09-05 12:26:16|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
2025-09-05 12:26:21|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
2025-09-05 12:41:30|INFO    |root                            |Scheduler will use this timezone: Asia/Jerusalem|
2025-09-05 12:41:32|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
2025-09-05 12:41:32|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
2025-09-05 12:41:32|INFO    |waitress                        |BAZARR is started and waiting for requests on: http://***.***.***.***:6767|
2025-09-05 12:41:32|INFO    |waitress                        |BAZARR is started and waiting for requests on: http://[::]:6767|
2025-09-05 12:41:42|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
2025-09-05 12:41:47|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
2025-09-05 12:59:20|ERROR   |root                            |BAZARR SignalR client for Radarr connection as been lost. Trying to reconnect...|
2025-09-05 12:59:20|ERROR   |root                            |BAZARR SignalR client for Sonarr connection as been lost. Trying to reconnect...|
2025-09-05 13:16:18|INFO    |root                            |Scheduler will use this timezone: Asia/Jerusalem|
2025-09-05 13:16:19|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
2025-09-05 13:16:19|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
2025-09-05 13:16:19|INFO    |waitress                        |BAZARR is started and waiting for requests on: http://***.***.***.***:6767|
2025-09-05 13:16:19|INFO    |waitress                        |BAZARR is started and waiting for requests on: http://[::]:6767|
2025-09-05 13:17:00|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
2025-09-05 13:17:05|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
2025-09-05 13:22:26|INFO    |root                            |Scheduler will use this timezone: Asia/Jerusalem|
2025-09-05 13:22:27|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
2025-09-05 13:22:27|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
2025-09-05 13:22:27|INFO    |waitress                        |BAZARR is started and waiting for requests on: http://***.***.***.***:6767|
