NAMES                 IMAGE                                     COMMAND                  CREATED AT                      STATUS                  PORTS
adguard-dns           adguard/adguardhome:latest                "/opt/adguardhome/Ad…"   2025-08-31 17:35:11 +0300 IDT   Up 58 minutes           0.0.0.0:67-68->67-68/udp, [::]:67-68->67-68/udp, 0.0.0.0:5443->5443/udp, [::]:5443->5443/udp, 0.0.0.0:5443->5443/tcp, [::]:5443->5443/tcp, 0.0.0.0:5454->53/tcp, 0.0.0.0:5454->53/udp, [::]:5454->53/tcp, [::]:5454->53/udp, 0.0.0.0:8784->784/udp, [::]:8784->784/udp, 0.0.0.0:8853->853/tcp, [::]:8853->853/tcp
nginx-proxy-manager   jc21/nginx-proxy-manager:latest           "/init"                  2025-08-31 17:32:31 +0300 IDT   Up About an hour        80-81/tcp, 443/tcp
traefik-gateway       traefik:v3.0                              "/entrypoint.sh --ap…"   2025-08-31 17:32:31 +0300 IDT   Up About an hour        0.0.0.0:80->80/tcp, [::]:80->80/tcp, 0.0.0.0:443->443/tcp, [::]:443->443/tcp, 0.0.0.0:8080->8080/tcp, [::]:8080->8080/tcp
relaxed_archimedes    ghcr.io/hotio/lidarr:latest               "/init"                  2025-08-30 21:43:50 +0300 IDT   Up 20 hours             8686/tcp
lidarr                ghcr.io/hotio/lidarr:pr-plugins-1c21412   "/init"                  2025-08-29 16:44:46 +0300 IDT   Up 20 hours             0.0.0.0:8686->8686/tcp, [::]:8686->8686/tcp
slskd                 slskd/slskd:latest                        "/usr/bin/tini -- ./…"   2025-08-29 09:19:10 +0300 IDT   Up 21 hours (healthy)   0.0.0.0:5030-5031->5030-5031/tcp, [::]:5030-5031->5030-5031/tcp, 0.0.0.0:50300->50300/tcp, [::]:50300->50300/tcp
open-webui            ghcr.io/open-webui/open-webui:main        "bash start.sh"          2025-08-28 14:44:23 +0300 IDT   Up 20 hours (healthy)   0.0.0.0:3001->8080/tcp, [::]:3001->8080/tcp
homepage              ghcr.io/gethomepage/homepage:latest       "docker-entrypoint.s…"   2025-08-28 02:49:07 +0300 IDT   Up 20 hours (healthy)   0.0.0.0:3030->3000/tcp, [::]:3030->3000/tcp
jellyfin              jellyfin/jellyfin:latest                  "/jellyfin/jellyfin"     2025-08-28 02:44:48 +0300 IDT   Up 20 hours (healthy)   0.0.0.0:8096->8096/tcp, [::]:8096->8096/tcp
bazarr                lscr.io/linuxserver/bazarr:latest         "/init"                  2025-08-28 02:05:30 +0300 IDT   Up 20 hours             0.0.0.0:6767->6767/tcp, [::]:6767->6767/tcp
sonarr                lscr.io/linuxserver/sonarr:latest         "/init"                  2025-08-27 19:27:57 +0300 IDT   Up 21 hours             0.0.0.0:8989->8989/tcp, [::]:8989->8989/tcp
radarr                lscr.io/linuxserver/radarr:latest         "/init"                  2025-08-27 19:26:24 +0300 IDT   Up 21 hours             0.0.0.0:7878->7878/tcp, [::]:7878->7878/tcp
transmission          lscr.io/linuxserver/transmission:latest   "/init"                  2025-08-27 19:25:15 +0300 IDT   Up 21 hours             0.0.0.0:9091->9091/tcp, [::]:9091->9091/tcp, 0.0.0.0:51413->51413/tcp, [::]:51413->51413/tcp, 0.0.0.0:51413->51413/udp, [::]:51413->51413/udp
prowlarr              lscr.io/linuxserver/prowlarr:latest       "/init"                  2025-08-27 19:23:45 +0300 IDT   Up 21 hours             0.0.0.0:9696->9696/tcp, [::]:9696->9696/tcp
portainer             portainer/portainer-ce:latest             "/portainer"             2025-08-27 19:20:09 +0300 IDT   Up 21 hours             0.0.0.0:8000->8000/tcp, [::]:8000->8000/tcp, 0.0.0.0:9443->9443/tcp, [::]:9443->9443/tcp
